,missing_count,missing_percent,num_gaps,max_gap_length,avg_gap_length
has_injury_reported,134,90.54054054054053,15,26,8.933333333333334
num_unique_injury_areas_daily,134,90.54054054054053,15,26,8.933333333333334
total_daily_duration_min,45,30.405405405405407,26,6,1.7307692307692308
num_daily_srpe_sessions,45,30.405405405405407,26,6,1.7307692307692308
avg_daily_perceived_exertion,45,30.405405405405407,26,6,1.7307692307692308
total_daily_training_load_srpe,45,30.405405405405407,26,6,1.7307692307692308
unique_daily_activity_names,45,30.405405405405407,26,6,1.7307692307692308
weight,30,20.27027027027027,10,10,3.0
total_glasses_of_fluid,30,20.27027027027027,10,10,3.0
alcohol_consumed_daily_flag,30,20.27027027027027,10,10,3.0
had_lunch,30,20.27027027027027,10,10,3.0
had_dinner,30,20.27027027027027,10,10,3.0
had_evening,30,20.27027027027027,10,10,3.0
had_breakfast,30,20.27027027027027,10,10,3.0
total_exercise_calories,24,16.216216216216218,19,3,1.263157894736842
total_exercise_steps,24,16.216216216216218,19,3,1.263157894736842
total_exercise_distance_km,24,16.216216216216218,19,3,1.263157894736842
avg_exercise_heart_rate,24,16.216216216216218,19,3,1.263157894736842
total_exercise_duration_minutes,24,16.216216216216218,19,3,1.263157894736842
num_exercise_sessions,24,16.216216216216218,19,3,1.263157894736842
mood,16,10.81081081081081,11,4,1.4545454545454546
fatigue,16,10.81081081081081,11,4,1.4545454545454546
stress,16,10.81081081081081,11,4,1.4545454545454546
soreness,16,10.81081081081081,11,4,1.4545454545454546
sleep_quality,16,10.81081081081081,11,4,1.4545454545454546
sleep_duration_h,16,10.81081081081081,11,4,1.4545454545454546
readiness,16,10.81081081081081,11,4,1.4545454545454546
avg_restlessness,8,5.405405405405405,6,3,1.3333333333333333
avg_duration_score,8,5.405405405405405,6,3,1.3333333333333333
avg_revitalization_score,8,5.405405405405405,6,3,1.3333333333333333
avg_composition_score,8,5.405405405405405,6,3,1.3333333333333333
avg_overall_sleep_score,8,5.405405405405405,6,3,1.3333333333333333
avg_minutes_to_fall_asleep,6,4.054054054054054,5,2,1.2
avg_sleep_efficiency,6,4.054054054054054,5,2,1.2
avg_minutes_after_wakeup,6,4.054054054054054,5,2,1.2
total_sleep_duration_minutes,6,4.054054054054054,5,2,1.2
total_awake_minutes_in_sleep_stages,6,4.054054054054054,5,2,1.2
total_light_sleep_minutes,6,4.054054054054054,5,2,1.2
total_deep_sleep_minutes,6,4.054054054054054,5,2,1.2
total_time_in_bed_minutes,6,4.054054054054054,5,2,1.2
total_minutes_awake_during_sleep,6,4.054054054054054,5,2,1.2
total_minutes_asleep,6,4.054054054054054,5,2,1.2
total_rem_sleep_minutes,6,4.054054054054054,5,2,1.2
steps_sum,1,0.6756756756756757,1,1,1.0
avg_daily_heart_rate,1,0.6756756756756757,1,1,1.0
distance_sum,1,0.6756756756756757,1,1,1.0
time_in_cardio_zone_minutes_x,1,0.6756756756756757,1,1,1.0
time_in_peak_zone_minutes_x,1,0.6756756756756757,1,1,1.0
time_in_fat_burn_zone_minutes_x,1,0.6756756756756757,1,1,1.0
time_in_below_default_zone1_minutes_x,1,0.6756756756756757,1,1,1.0
very_active_minutes_sum,0,0.0,0,0,0.0
sedentary_minutes_sum,0,0.0,0,0,0.0
moderately_active_minutes_sum,0,0.0,0,0,0.0
lightly_active_minutes_sum,0,0.0,0,0,0.0
day_of_week,0,0.0,0,0,0.0
